code,product_name,brands,categories,countries,quantity,packaging,manufacturing_places,image_url,image_front_url,image_back_url
000000000054,Limonade artisanale a la rose,,,en:fr,,,,https://images.openfoodfacts.org/images/products/invalid/front_en.6.400.jpg,,
000000000063,M&amp;M white,Fitpiggy,,en:fr,80 gram,,,https://images.openfoodfacts.org/images/products/invalid/front_en.12.400.jpg,,
000000000114,Chocolate n3,Jeff de Bruges,,France,80 g,,,https://images.openfoodfacts.org/images/products/invalid/front_fr.21.400.jpg,,
000000000431,PÃ¢te de fruits,,,en:fr,,,,https://images.openfoodfacts.org/images/products/invalid/front_fr.3.400.jpg,,
0000000105,Paleta gran reserva - Sierra nevada-,AdvoCare,"Bebidas y preparaciones de bebidas, Bebidas","Spanien, Germany",750ml,,,https://images.openfoodfacts.org/images/products/invalid/front_es.21.400.jpg,,
00000002,,,,en:Germany,,,,,,
00000003,,,,en:France,,,,,,
00000004,,,,en:france,,,,,,
0000000475,Confiture extra citron de Menton,,,en:fr,230 g,,,https://images.openfoodfacts.org/images/products/invalid/front_fr.3.400.jpg,,
00000005,,,,en:France,,,,,,
00000006,,,,en:Germany,,,,,,
00000006666,6666,,,"Germany, en:france",1pcs,,,https://images.openfoodfacts.org/images/products/000/000/000/6666/front_de.3.400.jpg,,
00000007,granola Bio le ChocolatÃ©,Mg ricarica,"Aliments et boissons Ã  base de vÃ©gÃ©taux, Aliments d'origine vÃ©gÃ©tale, Aliments Ã  base de fruits et de lÃ©gumes, Fruits et produits dÃ©rivÃ©s, Produits dÃ©shydratÃ©s, Aliments Ã  base de plantes sÃ©chÃ©es, Fruits secs","Spanien, Germany",450g,,,https://images.openfoodfacts.org/images/products/invalid/front_en.35.400.jpg,,
00000008,,Zuegg,Cornish clotted cream shortbread,"Vereinigte Staaten von Amerika, Germany",700ml,,,https://images.openfoodfacts.org/images/products/invalid/front_fr.60.400.jpg,,
00000009,xytitol pastilles,xylimgxyling,"it:Gestione sovrappeso, it:obesitÃ , Wrap","Germany,Spain",700ml,,,https://images.openfoodfacts.org/images/products/invalid/front_en.66.400.jpg,,
00000010,xxx,xxx,"Beverages and beverages preparations, Beverages, Snacks, Desserts, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Cakes, Pound Cake, Madeleines, Plain madeleines",DE,700ml,"Plastic,Cardboard,fr:BoÃ®te en carton,fr:Film en plastique",France,https://images.openfoodfacts.org/images/products/invalid/front_en.48.400.jpg,,
00000011,,"Kugler, Pyrat",,en:germany,1pcs,,,https://images.openfoodfacts.org/images/products/invalid/front_en.21.400.jpg,,
00000012,Besan chilla with stuffed chciken,Toneop,"Dietary supplements,Bodybuilding supplements,Groceries,Supplement",Germany,830 g,,,https://images.openfoodfacts.org/images/products/invalid/front_en.22.400.jpg,,
00000013,Powdered peanut butter,Pbfit,"Snacks, Meals, Rice dishes, Risottos, Powder peanut butter",en:Switzerland,300 g,pot plastique,,https://images.openfoodfacts.org/images/products/invalid/front_en.40.400.jpg,,
00000015,Madeleines ChocoLait,Apple bandit,"Snacks, Snacks sucrÃ©s, Biscuits et gÃ¢teaux, GÃ¢teaux, GÃ¢teaux au chocolat, Madeleines, Madeleines au chocolat",France,1000 g,"Plastique, Carton",,https://images.openfoodfacts.org/images/products/invalid/front_fr.40.400.jpg,,
00000016,velvety vanilla cake mix,betty crocker,"Dietary supplements, Vitamins",,,,,https://images.openfoodfacts.org/images/products/invalid/front_en.3.400.jpg,,
00000017,Collagen For Her,Bodylab,,"Ireland, en:france",1.0 kg,,,https://images.openfoodfacts.org/images/products/invalid/front_en.31.400.jpg,,
00000018,Chocolate peanut butter protein,Pays Gourmand,"Fasern,Pflanzliche Lebensmittel","Irland, Germany",,,,https://images.openfoodfacts.org/images/products/invalid/front_de.15.400.jpg,,
00000019,Erdbeeren,BeerenBrÃ¼der,,en:germany,250g,,,https://images.openfoodfacts.org/images/products/invalid/front_de.3.400.jpg,,
00000020,Nesquik moins de sucre,NestlÃ©,"Snacks, Snacks sucrÃ©s, Biscuits et gÃ¢teaux, GÃ¢teaux, Quatre-quarts, GÃ¢teaux au chocolat, Madeleines, Madeleines au chocolat","Frankreich, Germany",1080 g / 50 madeleines,1 boÃ®te en carton Ã  recycler 50 sachets individuels Ã  recycler,"Saint-Yrieix,France",https://images.openfoodfacts.org/images/products/invalid/front_en.77.400.jpg,,
00000021,Inulin Prebiotic Fiber,It's Just!,,en:France,,,,https://images.openfoodfacts.org/images/products/invalid/front_en.22.400.jpg,,
00000022,Farandole de madeleine,Coca-Cola,"Snacks, Snacks sucrÃ©s, Biscuits et gÃ¢teaux, GÃ¢teaux, GÃ¢teaux au chocolat, Madeleines, Madeleines au chocolat, Madeleines longues",Brasil,590 g,"BoÃ®te en carton, Film en plastique",,https://images.openfoodfacts.org/images/products/invalid/front_fr.34.400.jpg,,
00000023,,,,en:Germany,,,,,,
00000024,Croccante con pistacchi e miele,NUTELLA,it:bieta da costa,"Belgien, Germany",,Packung(en),,https://images.openfoodfacts.org/images/products/invalid/front_en.35.400.jpg,,
00000025,Frog Fuel Power Protein,Frog Fuel,Protein,en:France,610 g,,,https://images.openfoodfacts.org/images/products/invalid/front_fr.3.400.jpg,,
